cell_specimen_id,axon.total_length,all_neurites.total_length,basal_dendrite.total_length,dendrite.total_length,dendrite.total_surface_area,axon.total_surface_area,all_neurites.total_surface_area,basal_dendrite.total_surface_area,dendrite.total_volume,axon.total_volume,all_neurites.total_volume,basal_dendrite.total_volume,dendrite.num_tips,axon.num_tips,all_neurites.num_tips,basal_dendrite.num_tips,dendrite.num_nodes,axon.num_nodes,all_neurites.num_nodes,basal_dendrite.num_nodes,dendrite.num_branches,axon.num_branches,all_neurites.num_branches,basal_dendrite.num_branches
778327002,8156.320419,10335.82311,2178.001971,2178.001971,4583.922857,6356.848254,11442.06973,4583.922857,804.5012356,405.2248335,1894.842214,804.5012356,23,71,94,23,1401,5942,7344,1401,45,141,186,45
779708399,21402.15367,25765.68726,4363.533585,4363.533585,7083.775869,21271.6518,29367.53511,7083.775869,924.414442,1728.788042,4201.160178,924.414442,33,219,252,33,2928,13306,16235,2928,61,437,502,61
780005520,4214.724875,7024.217383,2809.492508,2809.492508,4483.384653,3042.846842,8256.095118,4483.384653,574.8504026,179.7439429,1665.859872,574.8504026,25,50,75,25,1879,3099,4979,1879,45,99,148,45
786135798,20827.81563,23891.59037,3063.774739,3063.774739,5970.998689,15058.50072,22024.41498,5970.998689,999.2172645,871.3067199,3572.100322,999.2172645,21,99,120,21,2147,15057,17205,2147,38,197,238,38
786176775,16834.45052,19768.0725,2933.621975,2933.621975,5866.754202,12159.99075,19488.83341,5866.754202,987.2877698,704.729524,4024.779926,987.2877698,26,104,130,26,2191,12161,14353,2191,46,207,258,46
786228558,23537.285,26588.3262,3049.889303,3049.889303,4763.187632,23253.21429,29666.80479,4763.187632,598.5686148,1872.190051,5631.909444,598.5686148,30,347,377,30,2114,16283,18398,2114,56,693,752,56
788296224,21816.63732,25185.62217,3368.984843,3368.984843,3985.851094,19028.19388,23762.34982,3985.851094,413.2061697,1376.761516,2877.006508,413.2061697,31,226,257,31,2622,14914,17537,2622,58,451,512,58
795530674,20456.15395,24697.01459,4239.333457,4239.333457,9027.814959,14759.64367,26045.54411,9027.814959,1607.348383,850.4861246,7866.442241,1607.348383,25,168,193,25,3005,13638,16644,3005,45,335,384,45
795563325,17840.06409,20456.38334,2616.319256,2616.319256,3872.387657,16230.10914,21830.88793,3872.387657,618.6813689,1219.132535,4654.861832,618.6813689,24,167,191,24,1970,12255,14226,1970,40,333,380,40
795572082,11385.92573,14792.41605,3406.490324,3406.490324,7182.134932,8287.429937,16790.26336,7182.134932,1329.141299,485.7607187,4336.842606,1329.141299,26,127,153,26,2182,7261,9444,2182,48,253,304,48
795844214,9640.535456,11493.0725,1851.724405,1851.724405,2962.574681,6929.582171,10325.57723,2962.574681,385.1052322,396.3721002,1391.338229,385.1052322,12,51,63,12,1283,6162,7446,1283,21,101,124,21
796636728,4938.958231,6637.144983,1697.134027,1697.134027,2939.079297,5044.205527,8665.703644,2939.079297,425.2755045,416.4857672,1875.954833,425.2755045,28,79,107,28,1410,3962,5373,1410,52,157,212,52
796666943,4177.701478,5530.30093,1352.599452,1352.599452,2666.245672,3931.739394,6947.132591,2666.245672,434.8514801,305.4520016,1134.675155,434.8514801,16,64,80,16,947,2722,3670,947,29,127,158,29
797664123,5304.677015,7573.811151,2267.914078,2267.914078,3769.844923,3812.982737,7751.541065,3769.844923,514.4032431,218.1026126,914.9526271,514.4032431,23,89,112,23,1532,3214,4747,1532,44,177,222,44
797722932,8799.275631,11539.36933,2739.248088,2739.248088,5904.956269,8868.485233,15426.01895,5904.956269,1143.202144,725.1282259,2870.147892,1143.202144,30,101,131,30,2221,6689,8911,2221,56,201,260,56
799776604,3820.512738,5446.081393,1625.568655,1625.568655,2582.096053,4089.289639,7336.743759,2582.096053,334.5661567,348.9062716,1502.26419,334.5661567,14,33,47,14,911,2109,3021,911,25,65,92,25
803605276,22586.66369,25879.12758,3291.496927,3291.496927,6005.923638,16270.96643,23078.58059,6005.923638,921.1453388,934.7336886,3031.427861,921.1453388,20,126,146,20,2274,14885,17160,2274,35,251,290,35
804968066,37651.8732,40704.60222,3052.729021,3052.729021,5727.886668,27307.14076,34155.45064,5727.886668,888.7025168,1588.874423,4063.239799,888.7025168,37,436,473,37,2168,26618,28787,2168,68,871,944,68
804977071,8081.787988,10469.59473,2386.543023,2386.543023,4040.303824,5809.160104,10357.0791,4040.303824,566.9613597,332.283958,1665.479912,566.9613597,28,103,131,28,1713,5689,7403,1713,55,205,260,55
805584825,11895.70661,14303.39866,2407.228167,2407.228167,3893.99731,8551.115693,13220.36785,3893.99731,511.7041699,489.1771479,2103.946498,511.7041699,22,136,158,22,1764,8905,10670,1764,39,271,314,39
808285808,32031.1504,37181.99394,5150.843536,5150.843536,10207.62104,24410.90172,36175.70349,10207.62104,1673.390398,1514.614551,5593.676997,1673.390398,35,293,328,35,3754,22055,25810,3754,62,585,654,62
808475329,26675.95353,30279.89994,3603.946419,3603.946419,7268.394621,28022.11294,35803.89979,7268.394621,1274.040541,2361.035029,4247.081405,1274.040541,31,317,348,31,2550,19072,21623,2550,58,633,694,58
808537562,20466.51047,23182.73408,2716.223614,2716.223614,5308.093052,14771.38579,21765.20987,5308.093052,872.617535,851.7417264,4650.534463,872.617535,22,171,193,22,1841,13782,15624,1841,38,341,384,38
808824183,25424.12847,29907.10837,4482.979897,4482.979897,8776.216022,22449.48715,33043.89797,8776.216022,1453.16166,1643.266795,6183.531207,1453.16166,40,269,309,40,3403,18965,22369,3403,72,537,616,72
808875776,11587.18736,13986.59095,2398.403674,2398.403674,3793.255266,12493.59678,17270.52679,3793.255266,482.2177828,1071.990333,3162.933598,482.2177828,22,194,216,22,1851,8958,10810,1851,39,387,430,39
808882292,12626.2042,16190.81964,3564.046444,3564.046444,7152.142667,9103.342215,17952.57535,7152.142667,1236.395179,523.7737245,5017.440982,1236.395179,21,111,132,21,2553,9568,12122,2553,36,221,262,36
809006343,25096.92067,27531.68125,2433.412456,2433.412456,3697.550513,18094.86939,23071.72998,3697.550513,459.6335089,1041.218136,3582.520004,459.6335089,20,279,299,20,1727,17357,19085,1727,34,557,596,34
